srcip,srcport,dstip,dstport,proto,total_fpackets,total_fvolume,total_bpackets,total_bvolume,min_fpktl,mean_fpktl,max_fpktl,std_fpktl,min_bpktl,mean_bpktl,max_bpktl,std_bpktl,min_fiat,mean_fiat,max_fiat,std_fiat,min_biat,mean_biat,max_biat,std_biat,duration,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,sflow_fpackets,sflow_fbytes,sflow_bpackets,sflow_bbytes,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,dscp,classe
1,5768,52.114.128.8,443,6,16,8821,12,5339,40,551,1480,568,40,444,1492,548,0,0,1,0,0,0,1,0,2,2,2,2,0,0,0,0,0,16,8821,12,5339,8,5,0,0,652,492,0,0
1,5767,40.69.223.39,443,6,15,2000,14,7707,40,133,838,206,40,550,1492,648,0,4,65,17,65,5,65,18,66,66,66,66,0,0,0,0,0,15,2000,14,7707,6,6,0,0,612,572,0,0
1,5769,52.169.82.131,443,6,13,1865,13,7667,40,143,783,204,40,589,1492,656,0,0,1,0,122,10,122,35,124,124,124,124,0,0,0,0,0,13,1865,13,7667,6,6,0,0,532,532,0,0
1,5772,40.69.216.251,443,6,6,716,2,104,40,119,260,109,52,52,52,0,1,1,3,0,2,2,2,0,9,9,9,9,0,0,0,0,0,6,716,2,104,2,0,0,0,276,104,0,0
1,5771,40.69.220.46,443,6,13,1866,14,7707,40,143,783,204,40,550,1492,648,1,0,1,0,1,9,120,33,121,121,121,121,0,0,0,0,0,13,1866,14,7707,6,6,0,0,532,572,0,0
1,5774,52.179.129.229,443,6,26,3839,21,14688,40,147,1480,283,40,699,1492,700,0,0,4,1,0,0,2,0,16,16,16,16,0,0,0,0,0,26,3839,21,14688,8,8,0,0,1148,900,0,0
1,5770,46.4.119.208,45700,6,16,826,15,3785,40,51,154,27,40,252,404,144,1,32,213,62,1,34,214,63,482,482,482,482,0,0,0,0,0,16,826,15,3785,1,11,0,0,712,612,0,1
1,5773,23.45.225.37,80,6,16,1178,13,6764,40,73,255,71,40,520,1492,677,1,4,56,14,1,5,60,17,74,74,74,74,0,0,0,0,0,16,1178,13,6764,2,2,0,0,748,580,0,0
1,5776,23.45.225.37,80,6,15,1144,13,7943,40,76,258,73,40,611,1492,725,1,5,56,14,59,5,59,16,73,73,73,73,0,0,0,0,0,15,1144,13,7943,2,1,0,0,708,580,0,0
1,5779,52.114.158.52,443,6,26,11309,24,11476,40,434,1480,568,40,478,1492,582,6,1,6,1,1,1,3,1,30,30,30,30,0,0,0,0,0,26,11309,24,11476,11,9,0,0,1160,1044,0,0
1,5777,40.69.216.251,443,6,19,3474,19,9407,40,182,1060,274,40,495,1492,636,1,1,3,1,2,7,128,29,148,148,148,148,0,0,0,0,0,19,3474,19,9407,9,6,0,0,808,820,0,0
