srcip,srcport,dstip,dstport,proto,total_fpackets,total_fvolume,total_bpackets,total_bvolume,min_fpktl,mean_fpktl,max_fpktl,std_fpktl,min_bpktl,mean_bpktl,max_bpktl,std_bpktl,min_fiat,mean_fiat,max_fiat,std_fiat,min_biat,mean_biat,max_biat,std_biat,duration,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,sflow_fpackets,sflow_fbytes,sflow_bpackets,sflow_bbytes,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,dscp,classe
192.168.0.75,43845,239.255.255.250,1900,17,2,400,0,0,200,200,200,0,0,-1,0,0,0,0,0,0,0,0,0,0,1001996,0,0,0,0,1001996,1001996,1001996,0,1,200,0,0,0,0,0,0,400,0,0,0
192.168.0.11,38281,192.168.0.75,43845,17,1,362,0,0,362,362,362,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,362,0,0,0,0,0,0,362,0,0,0
192.168.0.11,59713,192.168.0.75,43845,17,1,362,0,0,362,362,362,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,362,0,0,0,0,0,0,362,0,0,0
192.168.0.11,38221,192.168.0.75,43845,17,1,362,0,0,362,362,362,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,362,0,0,0,0,0,0,362,0,0,0
192.168.0.11,56374,192.168.0.75,43845,17,1,362,0,0,362,362,362,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,362,0,0,0,0,0,0,362,0,0,0
192.168.0.75,43845,239.255.255.250,1900,17,2,400,0,0,200,200,200,0,0,-1,0,0,0,0,0,0,0,0,0,0,1001222,0,0,0,0,1001222,1001222,1001222,0,1,200,0,0,0,0,0,0,400,0,0,0
192.168.0.75,68,192.168.0.1,67,17,1,328,0,0,328,328,328,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,328,0,0,0,0,0,0,328,0,0,0
10.21.0.35,51784,78.46.23.253,45700,6,4,330,3,528,52,82,166,55,52,176,416,207,4930,168084,251076,141303,725,128024,255323,180027,504254,504254,504254,504254,0,0,0,0,0,4,330,3,528,1,1,0,0,216,164,0,1
10.21.0.35,51784,78.46.23.253,45700,6,1,295,0,0,295,295,295,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,295,0,0,1,0,0,0,52,0,0,1
78.46.23.253,45700,10.21.0.35,51784,6,1,140,1,52,140,140,140,0,52,52,52,0,0,0,0,0,0,0,0,0,41,41,41,41,0,0,0,0,0,1,140,1,52,1,0,0,0,52,52,0,1
